index,base,sort_time_iso,duration_s,has_video,has_cover,has_thumb,mp4,cover,thumb
11,049db99d93cd7bd5322bd1ca9a11b474,2026-05-01 17:52:57,4.33,True,True,True,E:\wechat\xwechat_files\wxid_y96utu6cuc6p22_a45e\msg\video\2026-05\049db99d93cd7bd5322bd1ca9a11b474.mp4,E:\wechat\xwechat_files\wxid_y96utu6cuc6p22_a45e\msg\video\2026-05\049db99d93cd7bd5322bd1ca9a11b474.jpg,E:\wechat\xwechat_files\wxid_y96utu6cuc6p22_a45e\msg\video\2026-05\049db99d93cd7bd5322bd1ca9a11b474_thumb.jpg
12,8e02080bb5891751f356e8ca27a95660,2026-05-01 17:53:04,8.13,True,True,True,E:\wechat\xwechat_files\wxid_y96utu6cuc6p22_a45e\msg\video\2026-05\8e02080bb5891751f356e8ca27a95660.mp4,E:\wechat\xwechat_files\wxid_y96utu6cuc6p22_a45e\msg\video\2026-05\8e02080bb5891751f356e8ca27a95660.jpg,E:\wechat\xwechat_files\wxid_y96utu6cuc6p22_a45e\msg\video\2026-05\8e02080bb5891751f356e8ca27a95660_thumb.jpg
13,ddabbe8b50196e85609ae34329ccca8b,2026-05-01 17:53:11,7.93,True,True,True,E:\wechat\xwechat_files\wxid_y96utu6cuc6p22_a45e\msg\video\2026-05\ddabbe8b50196e85609ae34329ccca8b.mp4,E:\wechat\xwechat_files\wxid_y96utu6cuc6p22_a45e\msg\video\2026-05\ddabbe8b50196e85609ae34329ccca8b.jpg,E:\wechat\xwechat_files\wxid_y96utu6cuc6p22_a45e\msg\video\2026-05\ddabbe8b50196e85609ae34329ccca8b_thumb.jpg
14,42baabb5bc0e395dd04219680b14a138,2026-05-01 17:53:17,6.97,True,True,True,E:\wechat\xwechat_files\wxid_y96utu6cuc6p22_a45e\msg\video\2026-05\42baabb5bc0e395dd04219680b14a138.mp4,E:\wechat\xwechat_files\wxid_y96utu6cuc6p22_a45e\msg\video\2026-05\42baabb5bc0e395dd04219680b14a138.jpg,E:\wechat\xwechat_files\wxid_y96utu6cuc6p22_a45e\msg\video\2026-05\42baabb5bc0e395dd04219680b14a138_thumb.jpg
15,61ef0126a57d13957383bfbaad6d30b7,2026-05-01 17:55:40,6.97,True,True,True,E:\wechat\xwechat_files\wxid_y96utu6cuc6p22_a45e\msg\video\2026-05\61ef0126a57d13957383bfbaad6d30b7.mp4,E:\wechat\xwechat_files\wxid_y96utu6cuc6p22_a45e\msg\video\2026-05\61ef0126a57d13957383bfbaad6d30b7.jpg,E:\wechat\xwechat_files\wxid_y96utu6cuc6p22_a45e\msg\video\2026-05\61ef0126a57d13957383bfbaad6d30b7_thumb.jpg
16,2e80a11a9b29ecd6077bb4e2921b4127,2026-05-01 18:04:41,10.73,True,True,True,E:\wechat\xwechat_files\wxid_y96utu6cuc6p22_a45e\msg\video\2026-05\2e80a11a9b29ecd6077bb4e2921b4127.mp4,E:\wechat\xwechat_files\wxid_y96utu6cuc6p22_a45e\msg\video\2026-05\2e80a11a9b29ecd6077bb4e2921b4127.jpg,E:\wechat\xwechat_files\wxid_y96utu6cuc6p22_a45e\msg\video\2026-05\2e80a11a9b29ecd6077bb4e2921b4127_thumb.jpg
17,814c42a7be134eccd822135d4080e115,2026-05-01 18:04:45,6.77,True,True,True,E:\wechat\xwechat_files\wxid_y96utu6cuc6p22_a45e\msg\video\2026-05\814c42a7be134eccd822135d4080e115.mp4,E:\wechat\xwechat_files\wxid_y96utu6cuc6p22_a45e\msg\video\2026-05\814c42a7be134eccd822135d4080e115.jpg,E:\wechat\xwechat_files\wxid_y96utu6cuc6p22_a45e\msg\video\2026-05\814c42a7be134eccd822135d4080e115_thumb.jpg
18,d4a7d8584c9f27a7a6c03b4c8f40495e,2026-05-01 18:04:51,13.17,True,True,True,E:\wechat\xwechat_files\wxid_y96utu6cuc6p22_a45e\msg\video\2026-05\d4a7d8584c9f27a7a6c03b4c8f40495e.mp4,E:\wechat\xwechat_files\wxid_y96utu6cuc6p22_a45e\msg\video\2026-05\d4a7d8584c9f27a7a6c03b4c8f40495e.jpg,E:\wechat\xwechat_files\wxid_y96utu6cuc6p22_a45e\msg\video\2026-05\d4a7d8584c9f27a7a6c03b4c8f40495e_thumb.jpg
19,e95805c7f415771bce8428494199b770,2026-05-01 18:04:55,10.9,True,True,True,E:\wechat\xwechat_files\wxid_y96utu6cuc6p22_a45e\msg\video\2026-05\e95805c7f415771bce8428494199b770.mp4,E:\wechat\xwechat_files\wxid_y96utu6cuc6p22_a45e\msg\video\2026-05\e95805c7f415771bce8428494199b770.jpg,E:\wechat\xwechat_files\wxid_y96utu6cuc6p22_a45e\msg\video\2026-05\e95805c7f415771bce8428494199b770_thumb.jpg
20,6f1937780dca16a3bd57cb2febcb24bf,2026-05-01 18:04:58,3.1,True,True,True,E:\wechat\xwechat_files\wxid_y96utu6cuc6p22_a45e\msg\video\2026-05\6f1937780dca16a3bd57cb2febcb24bf.mp4,E:\wechat\xwechat_files\wxid_y96utu6cuc6p22_a45e\msg\video\2026-05\6f1937780dca16a3bd57cb2febcb24bf.jpg,E:\wechat\xwechat_files\wxid_y96utu6cuc6p22_a45e\msg\video\2026-05\6f1937780dca16a3bd57cb2febcb24bf_thumb.jpg
